Requirement ID,Requirement Description,AWS Service/Feature,How Enforced/Configured,Automated Check/Test,Evidence Artifact,Compliance Mapping
NFR-001.1,Lambda functions SHALL maintain 99.,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for NFR-001.1,ISO 27001
NFR-001.2,Critical Lambda functions SHALL be deployable across multiple AWS regions,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for NFR-001.2,ISO 27001
NFR-002.1,Cold start latency SHALL be minimized through architectural patterns,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001
NFR-003.1,Lambda functions SHALL use dedicated IAM execution roles with minimal required permissions,IAM,IAM role configuration with permission boundaries,IAM Access Analyzer,CloudTrail logs: arn:aws:logs:*:*:log-group:/aws/cloudtrail/*,ISO 27001 A.9.2.3
SEC-001.2,All Lambda execution roles SHALL have permission boundaries attached,IAM,IAM role configuration with permission boundaries,IAM Access Analyzer,CloudTrail logs: arn:aws:logs:*:*:log-group:/aws/cloudtrail/*,ISO 27001 A.9.2.3
SEC-001.3,Human access to Lambda resources SHALL use Identity Center federation,IAM,IAM policy configuration,IAM Access Analyzer,CloudTrail logs: arn:aws:logs:*:*:log-group:/aws/cloudtrail/*,ISO 27001 A.9.2.3
SEC-002.1,Sensitive configuration data SHALL be stored in AWS Secrets Manager,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001
SEC-002.2,Non-sensitive configuration SHALL use Parameter Store with encryption,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.10.1.2
SEC-002.3,All encryption SHALL use customer-managed KMS keys (CMKs),KMS,KMS key policy and configuration,AWS Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status,ISO 27001 A.10.1.2
SEC-003.1,All Lambda functions SHALL have code signing enabled in production,Lambda,Code Signing Configuration attachment,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for SEC-003.1,ISO 27001
SEC-003.2,Deployment artifacts SHALL have integrity verification,CodeDeploy,CodeDeploy configuration,CodeDeploy compliance monitoring,CodeDeploy console configuration,ISO 27001
SEC-004.1,Lambda functions accessing private resources SHALL be VPC-attached,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for SEC-004.1,ISO 27001 A.9.2.3
SEC-004.2,VPC-attached Lambdas SHALL use VPC endpoints for AWS service access,IAM,IAM policy configuration,IAM Access Analyzer,CloudTrail logs: arn:aws:logs:*:*:log-group:/aws/cloudtrail/*,ISO 27001 A.9.2.3
SEC-005.1,Internet-facing API Gateway stages SHALL have AWS WAF protection,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001
SEC-005.2,API Gateway endpoints SHALL implement proper authentication,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001 A.9.4.2
SEC-005.3,API Gateway SHALL be configured with security best practices,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001
SEC-006.1,All data transmission SHALL use encryption in transit,KMS,KMS key policy and configuration,AWS Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status,SOC 2 CC6.7
SEC-006.2,All data at rest SHALL be encrypted using approved algorithms,KMS,KMS key policy and configuration,AWS Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status,ISO 27001
LRR-001.1,Lambda functions SHALL use versioning with immutable releases,Lambda,Lambda versioning and alias configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-001.1,ISO 27001
LRR-001.2,Production traffic SHALL route through Lambda aliases,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-001.2,ISO 27001
LRR-001.3,Production deployments SHALL use AWS CodeDeploy for automated canary releases,CodeDeploy,CodeDeploy configuration,CodeDeploy compliance monitoring,CodeDeploy console configuration,ISO 27001
LRR-002.1,Production Lambda functions SHALL have reserved concurrency configured,Lambda,Reserved/provisioned concurrency limits,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-002.1,ISO 27001
LRR-002.2,Latency-critical functions SHALL use provisioned concurrency to eliminate cold starts,Lambda,Reserved/provisioned concurrency limits,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-002.2,ISO 27001
LRR-002.3,Lambda function timeouts SHALL be optimized based on performance testing,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-002.3,ISO 27001
LRR-002.4,Lambda memory allocation SHALL be optimized for performance and cost,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-002.4,ISO 27001
LRR-003.1,Lambda functions SHALL implement idempotency for safe retries,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-003.1,ISO 27001
LRR-003.2,Asynchronous Lambda functions SHALL have Dead Letter Queues configured,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-003.2,ISO 27001
LRR-003.3,Lambda functions SHALL use destinations for success and failure routing,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-003.3,ISO 27001
LRR-003.4,Lambda retry logic SHALL implement exponential backoff with jitter,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.12.4.1
LRR-004.1,Cold start performance SHALL be monitored and optimized,CloudWatch,CloudWatch configuration,CloudWatch metrics and alarms,CloudWatch dashboard: lrr-004.1-monitoring,ISO 27001
LRR-004.2,Lambda resource utilization SHALL be monitored for optimization,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for LRR-004.2,ISO 27001
ESA-001.1,API Gateway integration SHALL use appropriate API type based on feature requirements,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001
ESA-001.2,API Gateway SHALL implement throttling to protect backend Lambda functions,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for ESA-001.2,ISO 27001
ESA-001.3,API Gateway SHALL use usage plans for partner and client access control,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001 A.9.2.3
ESA-001.4,API Gateway SHALL validate requests and responses against defined schemas,API Gateway,API Gateway configuration,AWS Config Rule: api-gw-associated-with-waf,API Gateway console configuration,ISO 27001
ESA-002.1,EventBridge rules SHALL use specific event patterns for reliable event routing,EventBridge,EventBridge configuration,EventBridge compliance monitoring,EventBridge console configuration,ISO 27001 A.12.4.1
ESA-002.2,Production workloads SHALL use custom event buses for event isolation,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.12.4.1
ESA-002.3,EventBridge rules SHALL have Dead Letter Queues for failed event processing,EventBridge,EventBridge configuration,EventBridge compliance monitoring,EventBridge console configuration,ISO 27001 A.12.4.1
ESA-003.1,SQS queues used as Lambda event sources SHALL be configured for reliability and performance,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.12.4.1
ESA-003.2,SQS queues SHALL implement redrive policies with appropriate DLQ configuration,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001
ESA-003.3,Lambda functions processing SQS batches SHALL handle partial batch failures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for ESA-003.3,ISO 27001
ESA-004.1,SNS topics SHALL be configured with appropriate access policies and encryption,KMS,KMS key policy and configuration,AWS Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status,ISO 27001 A.9.2.3
ESA-004.2,SNS subscriptions SHALL use message filtering for targeted delivery,SQS,SQS configuration,SQS compliance monitoring,SQS console configuration,ISO 27001
ESA-004.3,SNS topics SHALL have delivery status logging enabled for monitoring,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: esa-004.3-monitoring,ISO 27001 A.12.4.1
ESA-005.1,S3 buckets SHALL configure event notifications for Lambda processing with appropriate filtering,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.12.4.1
ESA-005.2,Lambda functions processing S3 events SHALL implement appropriate processing patterns,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for ESA-005.2,ISO 27001 A.12.4.1
ESA-005.3,S3 buckets with cross-region replication SHALL handle replication events appropriately,S3,S3 bucket policy and configuration,S3 bucket compliance monitoring,S3 console configuration,ISO 27001 A.12.4.1
OBS-001.1,All Lambda functions SHALL integrate AWS Lambda Powertools for standardized observability,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-001.1,ISO 27001
OBS-001.2,All application logs SHALL use structured JSON format with mandatory fields,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-001.2-monitoring,ISO 27001 A.12.4.1
OBS-001.3,All requests SHALL have correlation IDs for end-to-end tracing,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-002.1,All Lambda functions SHALL have AWS X-Ray tracing enabled,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-002.1,ISO 27001
OBS-002.2,X-Ray traces SHALL include custom annotations for filtering and metadata for context,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-002.3,X-Ray service maps SHALL provide clear visualization of service dependencies,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-003.1,Lambda functions SHALL emit custom business and operational metrics,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.1,ISO 27001
OBS-003.2,Critical Lambda functions SHALL have comprehensive CloudWatch alarms,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.2,ISO 27001
OBS-003.3,Lambda functions SHALL have operational dashboards for monitoring,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.3,ISO 27001 A.12.4.1
OBS-004.1,Lambda function logs SHALL be properly configured with retention and encryption,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-004.1,ISO 27001 A.10.1.2
OBS-004.2,Logs SHALL be aggregated for centralized analysis and alerting,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-004.2-monitoring,ISO 27001 A.12.4.1
OBS-004.3,Critical log events SHALL trigger automated alerts,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-004.3-monitoring,ISO 27001 A.12.4.1
OBS-005.1,Lambda functions SHALL have documented incident response procedures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.1,ISO 27001
OBS-005.2,Lambda functions SHALL have defined on-call procedures and escalation paths,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.2,ISO 27001
OBS-005.3,Lambda functions SHALL have documented maintenance procedures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.3,ISO 27001
